PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,MUNICODE,MUNIDESC,SCHOOLCODE,SCHOOLDESC,LEGAL1,LEGAL2,LEGAL3,NEIGHCODE,NEIGHDESC,TAXCODE,TAXDESC,TAXSUBCODE,TAXSUBCODE_DESC,OWNERCODE,OWNERDESC,CLASS,CLASSDESC,USECODE,USEDESC,LOTAREA,HOMESTEADFLAG,FARMSTEADFLAG,CLEANGREEN,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALECODE,SALEDESC,DEEDBOOK,DEEDPAGE,PREVSALEDATE,PREVSALEPRICE,PREVSALEDATE2,PREVSALEPRICE2,CHANGENOTICEADDRESS1,CHANGENOTICEADDRESS2,CHANGENOTICEADDRESS3,CHANGENOTICEADDRESS4,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLE,STYLEDESC,STORIES,YEARBLT,EXTERIORFINISH,EXTFINISH_DESC,ROOF,ROOFDESC,BASEMENT,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLING,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE,FINISHEDLIVINGAREA,CARDNUMBER,ALT_ID,TAXYEAR,ASOFDATE
0010A00041000000,2112, -2120,PENN AVE,PITTSBURGH,PA, ,15222.0,102,2nd Ward - PITTSBURGH,47,Pittsburgh,LOT 96X100 PENN AVE,,,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,430,"RESTAURANT, CAFET AND/OR BAR",9600,,,,,04-12-2004,04-12-2004,670000.0,0,VALID SALE,12005,418.0,12-16-1987,1.0,,,4201   COHASSET LN   ,  ,ALLISON PARK PA  ,15101.0,678100,406700,1084800,0,678100,406700,1084800,678100,406700,1084800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0002F00175071100,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243,ALD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,HOM,,,,05-01-2007,05-01-2007,47000.0,AA,SALE NOT ANALYZ,13221,19.0,03-13-2003,38000.0,06-17-1999,27500.0,112   WASHINGTON PL  UNIT 7-K,  ,PITTSBURGH PA  ,15219.0,52700,0,52700,0,70700,0,70700,70700,0,70700,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,528.0,1.0,,2022,01-NOV-22
0002F00175081000,112, ,WASHINGTON PL,PITTSBURGH,PA,UNIT 8J,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243,A LD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,01-13-2017,12-15-2016,93000.0,DT,DATE OF TRANSFER,16668,498.0,07-11-2011,61000.0,06-12-2006,42500.0,465   CHURCH RD   ,  ,HARMONY PA  ,16037.0,70000,0,70000,0,70000,0,70000,70000,0,70000,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,FR,FAIR,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,514.0,1.0,,2022,01-NOV-22
0002F00175081100,112, ,WASHINGTON PL,PITTSBURGH,PA,UNIT 8K,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO-LOT 87X122 (OR .243,A LD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,07-11-2014,07-11-2014,73000.0,UR,OTHER,15663,408.0,02-05-2008,64000.0,11-08-2006,1.0,5220   GOLDEN RUN LN   ,  ,HERMITAGE PA  ,16148.0,70700,0,70700,0,70700,0,70700,70700,0,70700,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,528.0,1.0,,2022,01-NOV-22
0002F00175081200,112, ,WASHINGTON PL,PITTSBURGH,PA,UNIT 8L,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER CONDO LOT 87X122 (OR.243,ALD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,06-05-2006,06-05-2006,38000.0,0,VALID SALE,12869,358.0,11-02-1995,20000.0,,,112   WASHINGTON PL  APT 8L,  ,PITTSBURGH PA  ,15219.0,53300,0,53300,0,53300,0,53300,53300,0,53300,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,549.0,1.0,,2022,01-NOV-22
0002F00175091100,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X 122 (OR .243,ALD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,07-24-2019,07-19-2019,118000.0,36,QUIT CLAIM,17704,6.0,05-31-2007,58450.0,10-23-2000,1.0,902   BLACK OAK CT   ,  ,GIBSONIA PA  ,15044.0,70700,0,70700,0,70700,0,70700,70700,0,70700,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,2.0,0.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,528.0,1.0,,2022,01-NOV-22
0002F00175091200,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243,A LD) 5TH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,11-04-2014,10-31-2014,90000.0,3,LOVE&AFFECTION,15787,308.0,05-29-2012,67000.0,05-25-2007,58900.0,1735  E CARSON ST  # 325,  ,PITTSBURGH PA  ,15203.0,70500,0,70500,0,70500,0,70500,70500,0,70500,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,2.0,0.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,549.0,1.0,,2022,01-NOV-22
0002F00175101000,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR.243,ALD) FIFTH AVE,PT 19 STY CONDO BLDG & PT G LEVEL PARK GAR UNIT,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,11-19-2020,09-24-2020,10.0,3,LOVE&AFFECTION,18234,1.0,03-01-2017,110000.0,05-03-2004,35500.0,203   SKYLINE DR   ,  ,INDIANA PA  ,15701.0,55000,0,55000,0,55000,0,55000,55000,0,55000,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,514.0,1.0,,2022,01-NOV-22
0002F00175101100,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243,A LD) 5TH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,04-25-2018,04-25-2018,1.0,3,LOVE&AFFECTION,17185,198.0,05-29-2008,52000.0,05-17-2007,50000.0,112   WASHINGTON PL  UNIT 10K,  ,PITTSBURGH PA  ,15219.0,52000,0,52000,0,52000,0,52000,52000,0,52000,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,528.0,1.0,,2022,01-NOV-22
0011E00113000000,1901, ,5TH AVE,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,J LIPPINCOTT PLAN PTS 6-7 LOT 52.53X97.5 IN ALL,5TH AVE (EXMT 1992),3 STY BRK STORE & OFFICE BLDG #1901-#1903,51C04B,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,5194,,,,,08-31-2000,08-31-2010,50000.0,Z,OTHER,14366,112.0,05-05-2004,60000.0,03-24-2004,60000.0,1901   5TH AVE   ,  ,PITTSBURGH PA  ,15219.0,16700,103900,120600,0,16700,103900,120600,16700,103900,120600,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0002F00175101200,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR.243  ,ALD) FIFTH AVE                                 ,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR  ,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,HOM,,,,08-31-2022,08-19-2022,132500.0,AA,SALE NOT ANALYZ,19038,82.0,07-23-2010,67500.0,08-15-2001,43450.0,112   WASHINGTON PL  UNIT 10L,  ,PITTSBURGH PA  ,15219.0,52400,0,52400,0,70400,0,70400,70400,0,70400,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,549.0,1.0,,2022,01-NOV-22
0002F00175111000,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243 ,ALD) FIFTH AVE                                 ,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR  ,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,11,REGULAR-ETAL,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,10-08-2010,10-08-2010,1.0,3,LOVE&AFFECTION,14401,462.0,02-13-1987,4000.0,,,15   SHORT ST   ,  ,PITTSBURGH PA  ,15223.0,71400,0,71400,0,71400,0,71400,71400,0,71400,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,514.0,1.0,,2022,01-NOV-22
0002F00175121000,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243 ,A LD) FIFTH AVE                                ,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR  ,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,HOM,,,,,03-24-1998,23000.0,0,VALID SALE,10157,425.0,02-28-1994,20000.0,,,112   WASHINGTON PL  UNIT 12J,  ,PITTSBURGH      PA  ,15219.0,53400,0,53400,0,71400,0,71400,71400,0,71400,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,514.0,1.0,,2022,01-NOV-22
0002F00175121100,112, ,WASHINGTON PL,PITTSBURGH,PA,UNIT 12K,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243,A LD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,03-04-2005,03-04-2005,38703.0,0,VALID SALE,12367,528.0,07-08-2002,30000.0,05-10-1985,46200.0,3354   WOODLAND DR   ,  ,MURRYSVILLE PA  ,15668.0,72600,0,72600,0,72600,0,72600,72600,0,72600,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,2.0,0.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,528.0,1.0,,2022,01-NOV-22
0002F00175121200,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR.243,ALD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,20,CORPORATION,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,12-30-2013,12-30-2013,0.0,3,LOVE&AFFECTION,15476,541.0,02-27-2006,50000.0,04-04-2005,46000.0,6411  N 16TH ST   ,  ,ARLINGTON VA  ,22205.0,74500,0,74500,0,74500,0,74500,74500,0,74500,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,0.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,549.0,1.0,,2022,01-NOV-22
0002F00175141000,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243,ALD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,12-19-2019,12-07-2019,99750.0,99,CORRECTN / DUP,17879,299.0,03-30-2019,1.0,02-11-2014,73000.0,30   SPARROW DR   ,  ,PRINCETON JUNCTION NJ  ,8550.0,60000,0,60000,0,60000,0,60000,60000,0,60000,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,550.0,1.0,,2022,01-NOV-22
0002F00175141100,112, ,WASHINGTON PL,PITTSBURGH,PA,UNIT 14K,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR,.243 ALD) FIFTH AVE,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,HOM,,,,12-01-2009,12-01-2009,55000.0,UR,OTHER,14117,430.0,09-14-2005,30000.0,11-07-1983,53500.0,112   WASHINGTON PL  UNIT 14K,  ,PITTSBURGH PA  ,15219.0,33900,0,33900,0,51900,0,51900,51900,0,51900,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,528.0,1.0,,2022,01-NOV-22
0002F00175151200,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243 ,A LD) 5TH AVE                                  ,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR  ,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,10,REGULAR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,06-19-2013,06-19-2013,1.0,3,LOVE&AFFECTION,15273,395.0,02-08-1991,0.0,,,112   WASHINGTON PL   7D,  ,PITTSBURGH PA  ,15219.0,53300,0,53300,0,53300,0,53300,53300,0,53300,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,549.0,1.0,,2022,01-NOV-22
0002F00175161000,112, ,WASHINGTON PL,PITTSBURGH,PA, ,15219.0,103,3rd Ward - PITTSBURGH,47,Pittsburgh,CHATHAM CENTER TOWER CONDO LOT 87X122 (OR .243 ,ALD) FIFTH AVE                                 ,PT 19 STY CONDO BLDG & PT OF G LEVEL PARK GAR  ,61P21H,TOWER AT CHATHAM,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,R,RESIDENTIAL,50,CONDOMINIUM,0,,,,,,06-01-2001,25000.0,U,OTHER,11060,426.0,07-20-1999,20000.0,03-14-1996,16000.0,168   WOODSHIRE DR   ,  ,PITTSBURGH      PA  ,15215.0,51000,0,51000,0,51000,0,51000,51000,0,51000,21.0,CONDO HR,1.0,1967.0,7.0,Concrete,4.0,ROLL,1.0,None,C,AVERAGE,3.0,AVERAGE,AV,AVERAGE,3.0,1.0,1.0,0.0,B,Central Heat with AC,0.0,0.0,514.0,1.0,,2022,01-NOV-22
